"Longitude","Latitude"
-77.35746257,45.88449638
-77.32499963,45.99984814
-73.47966819,41.75516339
-72.28774189,41.91125917
-72.54832577,41.97307359
-72.95949265,41.83954399
-72.44215695,41.78912952
-72.23170793,41.35213254
-72.7358675,41.99608966
-72.83189134,41.70047106
-72.33494508,41.88482977
-72.95457644,41.91053451
-72.52372424,41.77356555
-73.19605718,41.18637037
-73.19708159,41.1869561
-72.02936189,41.3451457
-72.69928921,41.91694889
-72.83891453,41.96387805
-72.03015106,41.34391802
-72.35239348,41.55835794
-73.42396381,41.98333409
-73.85463173,42.08610331
-72.61757723,42.53216703
-78.11568219,40.6581265
-75.69819639,39.57135142
-73.18089591,43.78293545
-71.73488518,41.80151806
-73.47832689,41.75343963
-73.11722941,41.33268841
-72.22623918,41.70475254
-72.12522545,41.79123457
-72.7011803,41.90620553
-72.70081155,41.90633947
-78.54064763,40.00059274
-72.26386181,41.88612482
-86.26485554,39.11483488
-87.99723507,32.6981606
-87.4445247,34.33851056
-87.44262667,34.33763033
-87.66191001,33.77291845
-87.49826587,31.53151265
-87.46086462,34.33017687
-87.73241932,32.59994301
-87.55802055,33.08135944
-87.7325727,32.59867075
-88.18318626,31.71566124
-86.44503801,33.56865987
-87.98391087,34.67236627
-86.28542944,33.94629225
-85.11129344,31.3588581
-94.3199327,33.17141973
-86.93297708,31.43996577
-86.03410691,31.88566882
-87.62021933,34.09479279
-80.85043524,35.2679143
-122.3307299,47.61080133
-90.55189409,38.52063331
-90.51979186,37.9919851
-90.68818263,38.63130344
-91.73092881,39.48989261
-90.68147701,38.13055374
-92.85065266,32.62193136
-83.51930724,35.06005198
-91.63965379,40.52097107
-90.4508152,38.56913749
-90.6800381,38.4983747
-92.78126119,37.96066454
-92.65998391,40.1197564
-92.63944595,40.12195136
-91.15179099,37.9508544
-91.35992225,39.70934953
-93.01815852,40.21898662
-93.01961592,40.22079812
-92.88870914,36.67897755
-93.82186519,36.59077144
-91.68928947,39.52109483
-90.29187,36.91966059
-92.16031405,37.76060475
-90.62088573,37.77060759
-94.14078813,40.0515435
-92.9983522,40.48176599
-92.28839982,36.58809567
-94.82802713,39.94179211
-94.03181019,40.27178355
-94.48932786,36.55090266
-93.46901846,36.81019593
-91.44156784,37.16008898
-91.28800317,37.41963226
-89.48070815,37.18939105
-92.55077781,39.24010866
-89.6382459,37.18987955
-91.90969361,37.80089807
-91.87129627,36.62030687
-91.29159461,36.79048149
-90.94175881,37.72983125
-89.95926508,37.17057741
-90.28160025,36.89001407
-90.27843542,36.89097771
-92.13134354,40.31081312
-91.87055728,36.61846307
-94.3900438,36.76080986
-90.29920198,37.80104987
-90.67879846,38.13017124
-90.67905796,38.12825255
-90.68033697,38.13114839
-90.92937758,37.82091787
-90.43057384,37.00087404
-90.97138525,37.22046151
-90.05855083,40.47974635
-94.54929955,38.98187422
-86.27893507,32.39020442
-86.27654715,32.38867192
-92.3218649,34.77063441
-84.41096035,33.83971999
-84.41873443,33.83101095
-85.26701853,37.98837834
-90.42197529,38.61008007
-92.03196773,37.82781463
-92.13373386,38.59368304
-71.58141144,43.22301929
-71.58176379,43.2230103
-73.78389325,42.61405789
-71.50075746,41.80754877
-86.81114104,36.05446791
-81.69622135,38.33227406
-81.6917596,38.35799886
-73.73108441,41.78645329
-79.36587399,39.94868691
-79.34958502,40.08217994
-77.03358479,39.03453968
-90.5174471,38.5009634
-90.24802289,37.49955968
-81.01626703,40.05150062
-79.40067833,41.70023459
-77.16751764,38.95192595
-90.69474103,38.57795878
-90.51707332,38.49854389
-90.61735451,38.25147279
-90.99918788,39.01547429
-84.71636542,39.55087561
-77.04738071,38.95238045
-77.04764353,38.95282241
-77.04478954,38.95046229
-77.04545899,38.95159395
-77.04580546,38.95245491
-77.04616745,38.95058685
-77.04573779,38.95048025
-77.047596,38.95048286
-77.04587583,38.95404164
-77.04625024,38.951785
-77.04798376,38.95426806
-77.04613816,38.95381424
-77.04656139,38.95264862
-77.0482214,38.9531253
-77.04578539,38.95237559
-77.04624321,38.95152245
-77.04684541,38.95418071
-77.0480148,38.9509408
-77.04503417,38.95232148
-77.04785635,38.9506963
-77.04750879,38.95196955
-77.04733996,38.9542758
-77.04646975,38.95412989
-77.04511193,38.95049173
-77.05111272,38.95143935
-77.04544182,38.95336011
-77.0447688,38.95368541
-77.04722663,38.95264891
-77.04723742,38.95354604
-77.04637851,38.95100088
-77.04506122,38.95370278
-77.04767969,38.95130184
-77.04798442,38.95295993
-77.04467145,38.95158676
-91.1806787,43.0949655
-91.18177132,43.09736946
-91.19223866,43.09978348
-91.21976677,43.10108751
-91.21940454,43.09964602
-91.18663138,43.09056004
-91.18672954,43.09433524
-91.19045836,43.09062073
-91.19026539,43.09230996
-91.18800063,43.07057388
-91.19252644,43.09420932
-91.1849748,43.07030631
-91.18944636,43.08207098
-91.21551622,43.09692011
-91.21310273,43.10028905
-91.21010321,43.1034257
-91.18345664,43.10754456
-91.21115131,43.10432185
-84.53919357,45.38291003
-84.16575996,45.31045536
-84.57025668,45.43703868
-84.19528233,45.14343668
-84.54416832,45.43072276
-72.83353899,40.77417038
-72.83470021,40.77549206
-83.76860766,35.52980826
-83.75747607,35.50802069
-83.75981554,35.51326645
-83.8024364,35.53084517
-83.8186049,35.52192439
-83.81049441,35.5131493
-83.81126804,35.50347875
-83.81068348,35.51117476
-83.78911461,35.54394199
-83.77207403,35.5309789
-75.45430606,40.0951554
-75.45750249,40.08740943
-75.46599097,40.08643732
-75.44196788,40.11540843
-75.44090406,40.10700976
-75.43742368,40.09890415
-75.45354389,40.09439788
-80.78261472,33.81419792
-80.78183549,33.81526077
-80.80049957,33.83216547
-80.77658014,33.81453876
-80.77067265,33.81210634
-80.76763613,33.8169457
-83.40012887,35.743109
-83.38485254,35.71819487
-83.8569938,35.59545437
-83.85728567,35.59740299
-83.80529472,35.61098483
-83.92366149,35.51652245
-83.85924381,35.58160625
-83.87109147,35.58149254
-83.82282856,35.61185409
-83.80469799,35.53979858
-83.79999519,35.54847284
-83.44459161,35.72992232
-83.44222471,35.72954946
-83.40605972,35.73178227
-83.38699642,35.70605273
-83.80409029,35.60658672
-83.13171794,34.93615083
-83.02100301,35.16773671
-83.18036862,35.07302845
-83.32515809,34.92115795
-83.3125224,34.79706101
-83.10147673,35.09946285
-82.57822702,35.20634867
-82.40079087,35.69513767
-82.17152535,35.82438608
-82.17284411,35.81319762
-82.16965165,35.82103357
-82.17073691,35.82607703
-82.17410523,35.82342523
-81.55284605,36.39522968
-79.90705101,35.49864708
-80.09968631,35.35244739
-83.37231558,35.02935341
-81.70573857,36.01697139
-82.18295332,35.74894745
-82.8525284,34.95774551
-81.68511972,35.58021701
-82.98563938,35.16482982
-82.99664478,35.17345479
-83.85027049,35.52707602
-83.92054357,35.60646346
-82.40035603,36.07601617
-83.51865393,35.32286496
-83.48700815,35.28701136
-83.51903063,35.32200297
-83.51969275,35.31162207
-81.30025488,36.49904647
-81.34260601,36.46181917
-83.52018248,35.31334509
-83.17966982,35.07782772
-83.13793143,34.76220868
-83.17648338,35.07682075
-80.33596239,33.19640957
-80.00231485,33.137152
-83.16522774,34.93696562
-83.28823972,34.7936376
-83.2510873,35.03055513
-83.30449679,34.80262182
-83.18674023,35.02352302
-83.33635266,34.77573112
-83.33178159,34.77303929
-83.16196671,35.02810696
-83.23666657,34.93395489
-83.22653717,34.95449305
-80.28014719,36.38713532
-78.17275902,34.48147245
-81.38434018,36.43414765
-83.51848803,35.33418427
-83.52033383,35.3328681
-81.06168145,36.44533577
-83.60861263,35.219391
-83.58833074,35.18575989
-83.58158412,35.20412272
-82.39508565,35.77701652
-83.56855297,35.23196881
-83.60415204,35.2202454
-83.06827006,35.00605358
-83.08110762,34.98952184
-83.35491633,34.80749194
-83.30106589,34.819354
-83.14317665,34.92394908
-82.3804682,36.07235285
-82.84137809,35.85671825
-82.259682,35.40813995
-82.89503963,35.92314159
-82.98573364,35.01099142
-83.02740422,35.08901384
-82.97935124,35.06368626
-83.01915807,35.09201211
-82.97721709,35.07264365
-82.98426315,35.02274348
-82.9902418,35.01638415
-83.03118012,35.08971025
-82.98192002,35.02765356
-83.02812947,35.06457846
-83.01839601,35.07785704
-82.99314735,35.02732734
-82.97508418,35.03756279
-83.03813472,35.08473077
-82.97779926,35.04034468
-82.98213467,35.03217145
-83.00413383,35.0935111
-82.96686911,35.01785343
-82.97358464,35.01782828
-82.99385715,35.04301385
-82.99393948,35.05992359
-82.98889622,35.04086464
-82.97574148,35.01627634
-83.01211604,35.07538392
-82.98877967,35.04105843
-83.01082499,35.073908
-83.01846867,35.05651312
-82.99872459,35.04417852
-82.97085011,35.01560676
-82.21451396,35.79434993
-82.17879384,35.82241924
-82.28328499,35.80283824
-82.18504064,35.81652122
-82.17301246,35.82214822
-82.16448976,35.81597756
-82.184365,35.82168839
-82.30432788,35.78375889
-82.34470218,35.75703725
-82.17606557,35.81641806
-82.17751237,35.82573075
-81.55358978,36.39144806
-83.78769862,35.54437191
-81.51073141,36.40981376
-81.5525811,36.3928752
-83.80758885,35.61138229
-81.46852114,36.40721783
-81.55560322,36.39266335
-79.95637592,35.30420746
-80.09624269,35.33067418
-80.08059076,35.41910715
-79.95063903,35.48305437
-81.94339059,35.92043417
-77.21430091,35.97498884
-83.52201495,35.32387001
-83.23539273,35.23043067
-83.61460096,35.08595199
-83.59305507,35.33429087
-83.52555366,35.03943345
-81.85603718,35.26526895
-81.41540712,35.65764404
-83.52054851,35.32139784
-83.37607499,34.75563127
-79.14048288,36.07981942
-81.08967509,35.30354277
-81.31815891,35.19352333
-82.95496703,35.09735977
-82.9557845,35.09661445
-79.71092821,33.04090091
-79.65472876,35.0662101
-83.08697891,34.98011716
-83.10291929,35.00526747
-83.11623711,34.99800233
-82.58448641,35.19939895
-82.85800505,35.9339914
-82.22156219,35.41743862
-82.25237929,35.43041847
-82.9134887,35.05067778
-79.35253305,35.11483781
-79.14835022,35.17650155
-79.26418764,35.1016986
-79.15089295,35.17327728
-79.45228405,34.99466576
-80.09719394,35.33394373
-80.0776353,35.37176541
-79.96860255,35.38732714
-79.90910061,35.62570969
-80.02630517,35.4177236
-80.02255412,35.41898175
-80.09179735,35.35988057
-79.81812974,35.50075214
-80.09219059,35.35967219
-80.08957557,35.30880141
-79.90174187,35.61632618
-80.2716128,35.5194912
-83.25831554,34.93464197
-83.59377997,35.2307774
-83.57637179,35.18747153
-83.59920182,35.198464
-83.59464458,35.19792466
-83.62166221,35.18208736
-82.16635267,35.79910774
-78.66740229,36.00048869
-79.00744251,35.98278846
-79.02122716,36.07909309
-79.02009449,36.08800865
-83.10164355,35.10150588
-82.96628296,35.0184946
-83.51767405,35.32358561
-83.52432308,35.32579267
-81.08726856,35.30281703
-83.5183733,35.33308421
-82.74068131,35.03447273
-82.23813693,35.27125104
-79.97846046,33.20445298
-79.77378391,33.17495087
-80.01711479,33.16533125
-80.33254432,33.22065263
-83.09669962,35.02026886
-80.10396757,35.53667377
-80.06418012,35.43791574
-79.99768022,33.1627026
-81.87014976,36.03227969
-83.4579534,35.26877573
-83.18563576,35.10964208
-80.47928344,33.49400957
-78.88498428,36.18091266
-83.52583767,35.32822822
-82.26163771,35.39574469
-82.62561317,35.17736466
-82.97861689,35.07592326
-83.81090891,35.51610415
-83.81211292,35.50973245
-83.92372671,35.51901622
-83.44449512,35.72757664
-81.70989801,35.56838943
-80.5448056,32.70488646
-81.14774161,36.01545626
-82.23287529,35.27151153
-79.80453845,35.23471265
-82.97787845,35.0270413
-82.98402965,35.01286842
-82.98187,35.06159385
-82.99155751,35.02154998
-82.9798579,35.07690075
-82.97969125,35.06410323
-82.99108107,35.05453417
-82.97335848,35.03832621
-82.97194353,35.0032741
-83.03604974,35.08081112
-83.00043131,35.0678744
-82.96638133,35.00326881
-82.96253085,35.02900207
-83.02594793,35.06541661
-83.01037266,35.09127521
-83.01097344,35.07174723
-82.98098472,35.0125706
-82.96777937,35.01973719
-82.97471085,35.01407809
-82.98588632,35.06735597
-80.3342839,33.19631126
-83.51913592,35.32087494
-83.85589282,35.52562917
-80.78429735,33.81359814
-83.10037175,35.10146063
-83.09910135,35.09826132
-83.09985236,35.09991042
-83.10105768,35.10070149
-83.09978877,35.10095439
-81.30100829,35.21079036
-75.66112357,35.98790348
-83.14158193,34.99705263
-83.06774696,35.00615222
-83.10502613,35.01257858
-83.13995039,35.01614825
-83.10095188,35.00250824
-79.82208812,35.49900587
-80.09384038,35.35699253
-80.03186416,35.43512544
-80.06520864,35.44385215
-83.10627437,35.28802121
-83.0254472,35.23069713
-83.3582691,35.08615101
-83.37043673,35.03135447
-83.1082416,35.30514596
-81.77789718,36.10152287
-81.09623314,35.29073756
-95.06292888,31.43815114
-95.485082,30.65394531
-85.09851325,34.63470705
-85.00864342,30.64816271
-86.97254576,32.7760058
-87.05040938,32.68797422
-79.3295404,35.6831839
-81.09264399,35.30200032
-81.3851192,36.43498712
-84.00066913,35.45480661
-84.24455877,35.35319313
-85.43662558,34.68873077
-84.67631527,30.36105657
-94.25988594,31.38707424
-77.13559139,35.03228687
-79.97605151,33.20629854
-77.13548423,35.02715928
-80.48012002,33.49252002
-77.13800047,35.03470134
-77.13373116,35.02714361
-77.55762113,34.84327995
-77.13844661,35.03131772
-79.34703076,35.97502829
-79.31984927,35.5373584
-79.18890709,35.62263128
-78.85712038,35.11764157
-79.33191386,35.68083877
-79.39025824,35.72130999
-79.43983034,35.99019112
-79.10449769,35.72909334
-79.56390348,36.05474552
-78.98713573,35.5422142
-78.85724323,35.11549535
-78.86500216,35.0880659
-78.86465083,35.08817942
-78.48719266,34.56981685
-78.66644268,36.00219257
-78.7352374,35.83952217
-79.01797942,35.9835922
-79.15526046,35.6187371
-79.05569426,35.98472452
-78.88543139,36.206678
-76.77207681,36.31737484
-76.77339001,36.31982779
-76.80686395,36.31577582
-87.03971085,33.05864518
-85.72252761,33.51966612
-85.51607105,33.85746043
-85.64273034,32.46460243
-87.03755811,33.05887068
-85.72530237,33.52071531
-85.68565742,33.71031084
-87.03785242,33.05933048
-87.07912117,33.01872884
-79.00559415,35.98112039
-79.03527433,35.99353797
-84.15919048,35.52602023
-77.1820963,34.81811719
-83.59813714,33.12595032
-83.70290095,33.23407635
-83.60288948,33.15809814
-83.28077623,33.7510344
-83.45391024,33.35092925
-83.29125415,33.72249939
-83.6353766,33.18615617
-83.25714657,33.59546985
-83.54202746,33.18352549
-83.71613326,33.02932405
-83.51383722,33.28157048
-83.38677041,33.41987983
-90.633174,34.59949254
-87.39142077,32.9326239
-87.00953084,32.75628762
-87.00396774,32.91353875
-90.67496951,34.67971057
-87.00615776,32.90948488
-86.98909708,32.73908746
-90.63267965,34.59734474
-86.99932797,32.91206271
-93.8836703,31.55635627
-87.46950812,32.87940853
-87.00832874,32.91227649
-87.18415641,34.36578586
-87.37663073,34.33307253
-87.25351117,34.20149758
-87.18266159,34.3556719
-87.18604072,34.36740914
-87.25494195,34.20056234
-87.18437749,34.3657801
-87.39004231,34.34164951
-87.18282607,34.360726
-80.01363073,35.43542487
-77.44790326,36.32574061
-77.53037034,36.30169705
-77.53071453,36.30049451
-77.45058721,36.32639927
-77.44635199,36.32723236
-77.11009528,35.8952811
-77.11221477,35.88783373
-77.52966352,36.30468029
-77.52956006,36.30562572
-77.44613053,36.3251479
-77.13504663,35.02753037
-77.18569317,34.8185315
-77.454182,34.68078254
-77.18148067,34.82083691
-84.63412029,34.96686908
-85.16594051,34.52655653
-81.08930268,35.30055398
-81.09372236,35.30477506
-85.7655405,33.70083722
-85.5997431,33.72669918
-85.59792012,33.72261969
-85.86691143,33.45893545
-87.07469066,33.01870966
-85.87043424,33.45927415
-85.55982054,33.87757853
-85.57240962,33.87905602
-85.58467169,33.71695887
-85.6711984,33.62351282
-85.59219394,33.74344979
-85.83631865,33.44090155
-85.86725875,33.45712528
-82.84514033,34.9651929
-82.84369093,34.96616797
-84.53738234,35.097661
-93.93679911,31.56364951
-93.89704815,31.54530449
-87.50139068,32.9855909
-87.18714893,32.79368409
-87.36900155,34.21366035
-87.29121795,34.12266857
-87.3699697,34.21640227
-87.25329254,34.199437
-87.29363634,34.12468309
-87.23171431,34.21193425
-87.23064046,34.21490769
-79.80554775,35.2352276
-80.09832824,35.35184557
-80.08683329,35.41803176
-80.06838859,35.44487471
-80.0904189,35.40559943
-80.08703189,35.41070811
-80.09768023,35.33191888
-85.23457324,34.5739671
-85.23572602,34.59234543
-83.33324372,34.63872482
-85.12742592,34.5709532
-83.38372675,34.52692251
-85.25469729,34.52250787
-85.2356989,34.58870593
-83.31237262,34.56302007
-79.48930614,33.93945832
-79.48066404,33.93684409
-83.45653697,35.27017289
-80.11451408,36.38089966
-80.5015308,36.25253715
-80.29176704,36.4233837
-79.47771156,33.9333345
-79.75709426,36.25330279
-79.54654285,36.22206029
-78.52055811,34.60025367
-81.34556167,36.46270031
-81.34518116,36.4633887
-81.74569934,35.96499797
-81.74484569,35.96728156
-81.86961089,36.03196809
-82.20669595,35.74868478
-81.89781697,35.85005452
-81.92158875,35.9207346
-81.91365185,35.91736634
-81.89248424,35.85473768
-81.90224837,35.83267729
-81.89727969,35.8473709
-81.90542667,35.85369054
-81.90316587,35.85252688
-82.89415969,35.38787716
-82.80965255,35.36320283
-82.92782535,35.37277266
-82.81430825,35.36347961
-82.81887992,35.36389598
-82.81601229,35.36319427
-82.93812314,35.37472169
-82.81407628,35.35622634
-82.8242932,35.35756741
-82.84979716,35.4025428
-83.9257375,35.36402891
-82.86070336,35.40314801
-82.818198,35.37274901
-82.81889213,35.37526768
-83.92647667,35.36290683
-83.92930528,35.3663435
-83.94655524,35.3714865
-83.95692019,35.37028431
-83.93336512,35.36472075
-83.93286333,35.36413806
-83.94342337,35.37187575
-83.93001004,35.367804
-83.96858321,35.46126375
-83.94821876,35.36111119
-83.97735496,35.4411545
-83.97462017,35.45454773
-84.00159881,35.41798459
-83.86208999,35.58918158
-83.83421583,35.54570582
-83.49924116,35.59870085
-83.86830098,35.58686807
-83.92022369,35.60423184
-82.39990156,36.07534593
-82.40367554,36.07743599
-82.43332639,36.09795268
-82.43673481,36.09726657
-83.19749166,35.10759043
-83.2413195,35.08269926
-83.03968398,35.29251527
-83.8339429,35.5250334
-83.80249431,35.54085499
-83.8061608,35.54138785
-83.24862054,35.03204953
-83.1113079,35.38241421
-83.10937085,35.38559309
-83.12328647,35.38318081
-83.12520648,35.39012641
-83.10196479,35.39801727
-83.11115547,35.38476545
-83.11266072,35.38085545
-83.1079298,35.38410158
-83.11240974,35.38420288
-83.10731205,35.38638322
-83.88969946,35.58858132
-83.92711173,35.56390235
-83.92353635,35.57147934
-83.93793249,35.53527826
-82.3515885,35.76517107
-83.87425205,35.62478619
-83.87162858,35.55651041
-82.4236969,35.67064676
-83.86431144,35.58453561
-83.84652975,35.61068849
-83.52303607,35.33233908
-82.38047861,36.07020894
-82.72313715,35.38281911
-82.62034229,35.12277351
-83.56615566,35.22942586
-81.93111623,35.94357578
-83.56455402,35.22585595
-83.57895488,35.17640756
-83.63675907,35.18898901
-83.63753324,35.18820823
-83.60998734,35.19464714
-83.99092296,35.45162941
-83.95132047,35.37806682
-83.98930964,35.44831301
-83.99888524,35.43944572
-84.01352831,35.42381731
-84.01965917,35.42988169
-83.97138823,35.37536172
-83.95686444,35.37407145
-84.02013825,35.42856599
-83.98931241,35.4553067
-83.98526298,35.44836731
-83.95922126,35.38117107
-83.95718201,35.36745112
-83.9602417,35.38073019
-83.99967152,35.4518233
-83.02557277,35.08705807
-82.77245305,35.39269139
-82.7699275,35.39216583
-82.2195285,35.79547518
-83.03562973,35.42836379
-83.47927976,35.05681039
-82.3038056,35.78461506
-82.41337646,35.6793728
-82.17770005,35.83712628
-82.18416751,35.82808832
-82.17801167,35.8382159
-82.18589161,35.81602268
-81.92128089,35.92051059
-82.20877811,35.75497385
-81.91427463,35.85168649
-81.92127881,35.92609676
-81.91597961,35.85884218
-82.1297697,36.3061248
-81.88630014,36.49805521
-83.81228139,35.50355723
-83.76697661,35.53084264
-81.15244369,36.42785216
-83.85668141,35.59689612
-83.81823094,35.52129883
-83.85830865,35.59702584
-83.77337149,35.53241876
-83.79963156,35.52972051
-81.48903162,36.45978816
-81.48579467,36.46172402
-81.46496252,36.40738159
-81.55030828,36.39947465
-81.55253804,36.39753686
-81.82376297,36.00458318
-82.17110573,35.76188011
-82.16730241,35.75762689
-83.4009791,35.74555706
-83.44334169,35.73026691
-83.38430108,35.71625285
-83.80455164,35.54037022
-83.80258019,35.5476689
-83.38643752,35.70655141
-83.03920976,35.29256211
-83.5122952,34.85005086
-83.61105393,35.34232315
-83.61178164,35.34079054
-83.57902521,35.03325262
-83.5920344,35.32884079
-83.57839782,35.031547
-83.47793732,35.02142075
-83.30002549,35.08356707
-83.50821986,35.07220368
-83.52246778,35.09276566
-83.6175023,35.0671325
-83.41717801,35.03286659
-83.61620936,35.06801159
-83.65910895,35.27970967
-83.41461078,35.03379558
-83.43923226,35.02198828
-83.5363041,35.07334711
-83.55018655,35.04014921
-83.479134,35.01140151
-81.73700162,35.63057963
-81.60786691,35.59554699
-81.73116121,35.54769434
-81.78477707,35.55704307
-81.74704938,35.96462775
-81.74259572,35.63668636
-82.10181587,35.74518627
-81.84201106,35.91455074
-81.74561587,35.96286021
-94.31275306,31.34934658
-94.27980177,31.35477722
-79.80887809,33.12907391
-83.8564866,35.58538922
-83.85669328,35.5825127
-83.8480663,35.6162035
